baseline_date,projected_fiscal_year,deficit_billions,GDP,deficit_pct_GDP,fiscal_balance_billions,fiscal_balance_pct_GDP,primary_balance_billions,primary_balance_pct_GDP,debt_billions,debt_pct_GDP
2005-08-01,2009,-321.472,14467.3,-2.2220594029293648,-321.472,-2.2220594029293648,-26.572999999999865,-0.18367629066930158,,
2006-01-01,2010,-222.399,14884.4,-1.4941751095106286,-222.399,-1.4941751095106286,66.9699999999998,0.44993415925398267,,
2006-03-01,2010,-215.541,14884.4,-1.4481000241863966,-215.541,-1.4481000241863966,70.65299999999979,0.47467818655773697,5934.0,39.86724355701271
2006-08-01,2010,-327.53,14884.4,-2.200491790062078,-327.53,-2.200491790062078,-32.715999999999894,-0.21980059659777954,,
2007-01-01,2011,-12.46,15466.525,-0.08056108272543445,-12.46,-0.08056108272543445,256.3989999999999,1.6577673394637769,,
2007-03-01,2011,-34.582,15466.525,-0.22359256523362556,-34.582,-0.22359256523362556,235.69000000000005,1.5238717164974036,5502.0,35.57360169786038
2007-08-01,2011,-133.974,15466.525,-0.866219141015839,-133.974,-0.866219141015839,156.1529999999998,1.0096191613824035,,
2008-01-01,2012,86.952,16109.425,0.5397585574904132,86.952,0.5397585574904132,372.58299999999963,2.3128261871544122,,
2008-03-01,2012,104.727,16109.425,0.6500976912583784,104.727,0.6500976912583784,386.672,2.4002843056161223,5845.0,36.28310755970496
2008-09-01,2012,-125.83,16109.425,-0.7810955387917322,-125.83,-0.7810955387917322,201.8499999999999,1.25299320118502,,
2009-01-01,2013,-251.351,16687.775,-1.5061983997267459,-251.351,-1.5061983997267459,106.78399999999965,0.6398935747875294,,
2009-03-01,2013,-285.998,16687.775,-1.7138174501993224,-285.998,-1.7138174501993224,33.817999999999756,0.20265134207526023,10016.0,60.01998468939088
2009-08-01,2013,-524.423,16687.775,-3.142557950355874,-524.423,-3.142557950355874,-150.78300000000036,-0.9035536493031596,,
2010-01-01,2014,-468.723,17428.1,-2.6894670101732263,-468.723,-2.6894670101732263,-72.79899999999998,-0.41771047905394154,,
2010-03-01,2014,-456.203,17428.1,-2.617629001440203,-456.203,-2.617629001440203,-57.1880000000001,-0.32813674468243875,11606.0,66.59360458110753
2010-08-01,2014,-434.441,17428.1,-2.4927616894555347,-434.441,-2.4927616894555347,-24.07400000000007,-0.13813324458776385,,
2011-01-01,2015,-547.226,18164.25,-3.0126539769051845,-547.226,-3.0126539769051845,-88.0590000000002,-0.48479293116974387,,
2011-03-01,2015,-534.873,18164.25,-2.9446467649366204,-534.873,-2.9446467649366204,-71.73999999999978,-0.39495162200476086,13554.0,74.61910070605722
2011-08-01,2015,-318.148,18164.25,-1.7515063930522867,-318.148,-1.7515063930522867,18.230000000000018,0.10036197475811012,,
2012-01-01,2016,-299.98,18641.325,-1.6092203746246578,-299.98,-1.6092203746246578,41.128999999999905,0.22063345819033736,,
2012-03-01,2016,-255.796,18641.325,-1.3721985963980565,-255.796,-1.3721985963980565,86.91000000000031,0.4662222240103657,13263.0,71.14837598722194
2012-08-01,2016,-182.492,18641.325,-0.9789647463364325,-182.492,-0.9789647463364325,101.53200000000015,0.5446608543115907,,
2013-02-01,2017,-532.946,19375.175,-2.750664187549274,-532.946,-2.750664187549274,-120.91699999999992,-0.6240821050648571,,
2013-05-01,2017,-479.077,19375.175,-2.4726331504102546,-479.077,-2.4726331504102546,-80.99000000000024,-0.41800912765949333,14223.0,73.40836921472967
2014-02-01,2018,-652.691,20436.325,-3.193778724893052,-652.691,-3.193778724893052,-159.21200000000044,-0.7790637504541567,,
2014-04-01,2018,-624.81,20436.325,-3.0573500861823244,-624.81,-3.0573500861823244,-133.8720000000003,-0.6550688541114916,15202.0,74.38715131022823
2014-08-01,2018,-558.046,20436.325,-2.7306572977284325,-558.046,-2.7306572977284325,-146.49899999999934,-0.716855892632356,,
2015-01-01,2019,-650.372,21286.15,-3.055376383235108,-650.372,-3.055376383235108,-170.00599999999986,-0.7986695574352329,,
2015-03-01,2019,-604.924,21286.15,-2.8418666597764273,-604.924,-2.8418666597764273,-132.8640000000005,-0.6241805117412048,15654.0,73.54077651430624
2015-08-01,2019,-593.638,21286.15,-2.7888462685830926,-593.638,-2.7888462685830926,-156.2739999999999,-0.7341581262933874,,
2016-01-01,2020,-809.229,21336.775,-3.7926490765356995,-809.229,-3.7926490765356995,-311.43299999999954,-1.4596067118859317,,
2016-03-01,2020,-797.079,21336.775,-3.735705138194502,-797.079,-3.735705138194502,-296.13400000000047,-1.3879042170149913,16771.0,78.60138188643785
2016-08-01,2020,-713.111,21336.775,-3.3421686267020205,-713.111,-3.3421686267020205,-307.92500000000064,-1.4431656142973839,,
2017-01-01,2021,-796.543,23044.05,-3.4566102746696004,-796.543,-3.4566102746696004,-361.4829999999997,-1.568660890772237,,
2017-06-01,2021,-879.311,23044.05,-3.815783249906158,-879.311,-3.815783249906158,-398.62400000000025,-1.7298348163625763,18037.0,78.27183155738683
2018-04-01,2022,-1137.386,25565.375,-4.44893141602656,-1137.386,-4.44893141602656,-631.7429999999999,-2.4710883372530223,,
2018-05-01,2022,-1273.054,25565.375,-4.979602294118511,-1273.054,-4.979602294118511,-631.2210000000009,-2.4690465131061092,20290.0,79.36515697501014
